N,p,q
102464,3,102461
102466,5,102461
102468,7,102461
102470,19,102451
102472,11,102461
102474,13,102461
102476,43,102433
102478,17,102461
102480,19,102461
102482,31,102451
102484,3,102481
102486,5,102481
102488,7,102481
102490,29,102461
102492,11,102481
102494,13,102481
102496,59,102437
102498,17,102481
102500,3,102497
102502,3,102499
102504,5,102499
102506,3,102503
102508,5,102503
102510,7,102503
102512,13,102499
102514,11,102503
102516,13,102503
102518,19,102499
102520,17,102503
102522,19,102503
102524,43,102481
102526,3,102523
102528,5,102523
102530,7,102523
102532,29,102503
102534,11,102523
102536,3,102533
102538,5,102533
102540,7,102533
102542,3,102539
102544,5,102539
102546,7,102539
102548,67,102481
102550,3,102547
102552,5,102547
102554,3,102551
102556,5,102551
102558,7,102551
102560,13,102547
102562,3,102559
102564,5,102559
102566,3,102563
102568,5,102563
102570,7,102563
102572,13,102559
102574,11,102563
102576,13,102563
102578,19,102559
102580,17,102563
102582,19,102563
102584,37,102547
102586,23,102563
102588,29,102559
102590,3,102587
102592,5,102587
102594,7,102587
102596,3,102593
102598,5,102593
102600,7,102593
102602,43,102559
102604,11,102593
102606,13,102593
102608,61,102547
102610,3,102607
102612,5,102607
102614,3,102611
102616,5,102611
102618,7,102611
102620,13,102607
102622,11,102611
102624,13,102611
102626,19,102607
102628,17,102611
102630,19,102611
102632,73,102559
102634,23,102611
102636,29,102607
102638,31,102607
102640,29,102611
102642,31,102611
102644,37,102607
102646,3,102643
102648,5,102643
102650,3,102647
102652,5,102647
102654,7,102647
102656,3,102653
102658,5,102653
102660,7,102653
102662,19,102643
102664,11,102653
102666,13,102653
102668,61,102607
102670,3,102667
102672,5,102667
102674,7,102667
102676,3,102673
102678,5,102673
102680,3,102677
102682,3,102679
102684,5,102679
102686,7,102679
102688,11,102677
102690,11,102679
102692,13,102679
102694,17,102677
102696,17,102679
102698,19,102679
102700,23,102677
102702,23,102679
102704,3,102701
102706,5,102701
102708,7,102701
102710,31,102679
102712,11,102701
102714,13,102701
102716,37,102679
102718,17,102701
102720,19,102701
102722,43,102679
102724,23,102701
102726,47,102679
102728,61,102667
102730,29,102701
102732,31,102701
102734,61,102673
102736,59,102677
102738,37,102701
102740,61,102679
102742,41,102701
102744,43,102701
102746,67,102679
102748,47,102701
102750,71,102679
102752,73,102679
102754,53,102701
102756,79,102677
102758,79,102679
102760,59,102701
102762,61,102701
102764,3,102761
102766,3,102763
102768,5,102763
102770,7,102763
102772,3,102769
102774,5,102769
102776,7,102769
102778,17,102761
102780,11,102769
102782,13,102769
102784,23,102761
102786,17,102769
102788,19,102769
102790,29,102761
102792,23,102769
102794,31,102763
102796,3,102793
102798,5,102793
102800,3,102797
102802,5,102797
102804,7,102797
102806,13,102793
102808,11,102797
102810,13,102797
102812,19,102793
102814,3,102811
102816,5,102811
102818,7,102811
102820,23,102797
102822,11,102811
102824,13,102811
102826,29,102797
102828,17,102811
102830,19,102811
102832,3,102829
102834,5,102829
102836,7,102829
102838,41,102797
102840,11,102829
102842,13,102829
102844,3,102841
102846,5,102841
102848,7,102841
102850,53,102797
102852,11,102841
102854,13,102841
102856,59,102797
102858,17,102841
102860,19,102841
102862,3,102859
102864,5,102859
102866,7,102859
102868,71,102797
102870,11,102859
102872,13,102859
102874,3,102871
102876,5,102871
102878,7,102871
102880,3,102877
102882,5,102877
102884,3,102881
102886,5,102881
102888,7,102881
102890,13,102877
102892,11,102881
102894,13,102881
102896,19,102877
102898,17,102881
102900,19,102881
102902,31,102871
102904,23,102881
102906,29,102877
102908,31,102877
102910,29,102881
102912,31,102881
102914,3,102911
102916,3,102913
102918,5,102913
102920,7,102913
102922,11,102911
102924,11,102913
102926,13,102913
102928,17,102911
102930,17,102913
102932,3,102929
102934,3,102931
102936,5,102931
102938,7,102931
102940,11,102929
102942,11,102931
102944,13,102931
102946,17,102929
102948,17,102931
102950,19,102931
102952,23,102929
102954,23,102931
102956,3,102953
102958,5,102953
102960,7,102953
102962,31,102931
102964,11,102953
102966,13,102953
102968,37,102931
102970,3,102967
102972,5,102967
102974,7,102967
102976,23,102953
102978,11,102967
102980,13,102967
102982,29,102953
102984,17,102967
102986,3,102983
102988,5,102983
102990,7,102983
102992,61,102931
102994,11,102983
102996,13,102983
102998,31,102967
103000,17,102983
103002,19,102983
103004,3,103001
103006,5,103001
103008,7,103001
103010,3,103007
103012,5,103007
103014,7,103007
103016,103,102913
103018,11,103007
103020,13,103007
103022,109,102913
103024,17,103007
103026,19,103007
103028,61,102967
103030,23,103007
103032,31,103001
103034,67,102967
103036,29,103007
103038,31,103007
103040,73,102967
103042,41,103001
103044,37,103007
103046,3,103043
103048,5,103043
103050,7,103043
103052,3,103049
103054,5,103049
103056,7,103049
103058,127,102931
103060,11,103049
103062,13,103049
103064,97,102967
103066,17,103049
103068,19,103049
103070,3,103067
103072,3,103069
103074,5,103069
103076,7,103069
103078,11,103067
103080,11,103069
103082,3,103079
103084,5,103079
103086,7,103079
103088,19,103069
103090,3,103087
103092,5,103087
103094,3,103091
103096,3,103093
103098,5,103093
103100,7,103093
103102,3,103099
103104,5,103099
103106,7,103099
103108,17,103091
103110,11,103099
103112,13,103099
103114,23,103091
103116,17,103099
103118,19,103099
103120,29,103091
103122,23,103099
103124,31,103093
103126,3,103123
103128,5,103123
103130,7,103123
103132,41,103091
103134,11,103123
103136,13,103123
103138,47,103091
103140,17,103123
103142,19,103123
103144,3,103141
103146,5,103141
103148,7,103141
103150,59,103091
103152,11,103141
103154,13,103141
103156,89,103067
103158,17,103141
103160,19,103141
103162,71,103091
103164,23,103141
103166,43,103123
103168,89,103079
103170,29,103141
103172,31,103141
103174,3,103171
103176,5,103171
103178,7,103171
103180,3,103177
103182,5,103177
103184,7,103177
103186,3,103183
103188,5,103183
103190,7,103183
103192,101,103091
103194,11,103183
103196,13,103183
103198,107,103091
103200,17,103183
103202,19,103183
103204,113,103091
103206,23,103183
103208,31,103177
103210,131,103079
103212,29,103183
103214,31,103183
103216,137,103079
103218,41,103177
103220,3,103217
103222,5,103217
103224,7,103217
103226,43,103183
103228,11,103217
103230,13,103217
103232,61,103171
103234,3,103231
103236,5,103231
103238,7,103231
103240,3,103237
103242,5,103237
103244,7,103237
103246,29,103217
103248,11,103237
103250,13,103237
103252,173,103079
103254,17,103237
103256,19,103237
103258,41,103217
103260,23,103237
103262,31,103231
103264,47,103217
103266,29,103237
103268,31,103237
103270,53,103217
103272,41,103231
103274,37,103237
103276,59,103217
103278,41,103237
103280,43,103237
103282,191,103091
103284,47,103237
103286,103,103183
103288,71,103217
103290,53,103237
103292,3,103289
103294,3,103291
103296,5,103291
103298,7,103291
103300,11,103289
103302,11,103291
103304,13,103291
103306,17,103289
103308,17,103291
103310,3,103307
103312,5,103307
103314,7,103307
103316,79,103237
103318,11,103307
103320,13,103307
103322,3,103319
103324,5,103319
103326,7,103319
103328,37,103291
103330,11,103319
103332,13,103319
103334,43,103291
103336,3,103333
103338,5,103333
103340,7,103333
103342,23,103319
103344,11,103333
103346,13,103333
103348,29,103319
103350,17,103333
103352,3,103349
103354,5,103349
103356,7,103349
103358,67,103291
103360,3,103357
103362,5,103357
103364,7,103357
103366,17,103349
103368,11,103357
103370,13,103357
103372,23,103349
103374,17,103357
103376,19,103357
103378,29,103349
103380,23,103357
103382,151,103231
103384,167,103217
103386,29,103357
103388,31,103357
103390,3,103387
103392,5,103387
103394,3,103391
103396,3,103393
103398,5,103393
103400,7,103393
103402,3,103399
103404,5,103399
103406,7,103399
103408,17,103391
103410,11,103399
103412,3,103409
103414,5,103409
103416,7,103409
103418,19,103399
103420,11,103409
103422,13,103409
103424,3,103421
103426,3,103423
103428,5,103423
103430,7,103423
103432,11,103421
103434,11,103423
103436,13,103423
103438,17,103421
103440,17,103423
103442,19,103423
103444,23,103421
103446,23,103423
103448,61,103387
103450,29,103421
103452,29,103423
103454,3,103451
103456,5,103451
103458,7,103451
103460,3,103457
103462,5,103457
103464,7,103457
103466,43,103423
103468,11,103457
103470,13,103457
103472,73,103399
103474,3,103471
103476,5,103471
103478,7,103471
103480,23,103457
103482,11,103471
103484,13,103471
103486,3,103483
103488,5,103483
103490,7,103483
103492,41,103451
