N,sigma_trunc_Q0,sigma_model
1001010,3.5872024185377733,0.0022417861247141
1001012,1.3203238032220197,0.0008251231006360079
1001014,1.5999067943328327,0.0009998456830415388
1001016,2.640790776740167,0.001650335674110702
1001018,1.3203238032220197,0.0008251231006360079
1001020,1.7604309799873963,0.0011001636607006079
1001022,3.048457502484264,0.0019051029001133186
1001024,1.3203877459290925,0.0008251630609886078
1001026,1.4403526771351203,0.0009001339399220523
1001028,3.384882844830495,0.002115348539048129
1001030,1.7604309799873963,0.0011001636607006079
1001032,1.3304921100628782,0.0008314776818745441
1001034,2.7969521281741816,0.0017479271423401636
1001036,1.3203238032220197,0.0008251231006360079
1001038,1.3203238032220197,0.0008251231006360079
1001040,3.644774453921257,0.0022777651900233982
1001042,1.5843876588875812,0.0009901471552057706
1001044,1.4670700837109807,0.0009168307148351679
1001046,2.6406469021995114,0.0016502457611614707
1001048,1.3203238032220197,0.0008251231006360079
1001050,1.7604809325323538,0.001100194878041899
1001052,3.1220349307946886,0.0019510843749880183
1001054,1.3203238032220197,0.0008251231006360079
1001056,1.640152223842368,0.0010249966600233207
1001058,2.6406469021995114,0.0016502457611614707
1001060,1.7604309799873963,0.0011001636607006079
1001062,1.4083792019301806,0.0008801524377065901
1001064,2.6958484076037577,0.0016847433875677924
1001066,1.4670261257348909,0.0009168032437394864
1001068,1.3203238032220197,0.0008251231006360079
1001070,4.243949936136172,0.0026522138900345357
1001072,1.4544517913677266,0.0009089450397624398
1001074,1.3259378273606057,0.0008286315286390259
1001076,2.6406469021995114,0.0016502457611614707
1001078,1.4561108805628569,0.000909981870892483
1001080,1.82773333327964,0.0011422235904641085
1001082,2.6406469021995114,0.0016502457611614707
1001084,1.5843876588875812,0.0009901471552057706
1001086,1.3253396589893989,0.0008282577093229247
1001088,2.972223271569336,0.0018574610831335566
1001090,1.7604309799873963,0.0011001636607006079
1001092,1.333467202510345,0.0008333369360203392
1001094,2.6406469021995114,0.0016502457611614707
1001096,1.4116681877077957,0.000882207856336589
1001098,1.6603467034509551,0.0010376169972388621
1001100,3.651298711290898,0.002281842459142571
1001102,1.3309223670658925,0.0008317465666674496
1001104,1.4406514715516487,0.0009003206684918297
1001106,2.640700848361085,0.0016502794742733577
1001108,1.325940270537406,0.0008286330554778301
1001110,2.0754760714876404,0.0012970479265939222
1001112,3.2569405567743126,0.0020353922910688366
1001114,1.3926881144540961,0.0008703464501760899
1001116,1.3203238032220197,0.0008251231006360079
1001118,2.6406469021995114,0.0016502457611614707
1001120,1.7607107561593043,0.0011003385040094125
1001122,1.3391738639344783,0.0008369032567645915
1001124,2.6406828643672644,0.0016502682353570352
1001126,1.62404540334011,0.0010149308643133755
1001128,1.3203238032220197,0.0008251231006360079
1001130,4.1246663566465775,0.00257766881501337
1001132,1.4959066985685452,0.0009348518676804439
1001134,1.3203238032220197,0.0008251231006360079
1001136,2.640694852331264,0.00165027572711474
1001138,1.4076977633776067,0.000879726579526937
1001140,2.1127573606880734,0.0013203464938587861
1001142,2.6406469021995114,0.0016502457611614707
1001144,1.3835053241293138,0.000864607757586602
1001146,1.3835028240362846,0.0008646061951785722
1001148,2.7966480057999035,0.0017477370841167
1001150,1.7604809275423388,0.0011001948749234393
1001152,1.3203877377527986,0.0008251630558789151
1001154,3.538962463754214,0.002211639049452398
1001156,1.4413002156531922,0.000900726094602666
1001158,1.3203238032220197,0.0008251231006360079
1001160,3.5558174456663765,0.0022221724011215784
1001162,1.3247869514747994,0.0008279123003125909
1001164,1.4084810960276082,0.0008802161153994415
1001166,2.6406469021995114,0.0016502457611614707
1001168,1.5856788647116133,0.0009909540813177477
1001170,1.7959270892913581,0.0011223465977179712
1001172,2.6406469021995114,0.0016502457611614707
1001174,1.3203238032220197,0.0008251231006360079
1001176,1.5218326614182276,0.0009510540377854591
1001178,2.6406469021995114,0.0016502457611614707
1001180,1.7802964398445682,0.0011125783803268914
1001182,1.7287268434381693,0.0010803504789730293
1001184,2.6408387119225005,0.0016503656307214822
1001186,1.3980277495259095,0.0008736834014875543
1001188,1.3273257056184464,0.0008294988692176175
1001190,3.6910137188290295,0.002306661954240422
1001192,1.3203238032220197,0.0008251231006360079
1001194,1.3498513060751387,0.0008435760169954254
